clipboard,clipboard,Merriam-Webster,automatic
doctor,doctor,www.merriam-webster.com,automatic
conducto,conducto,dle.rae.es,automatic
madrid,Madrid,dle.rae.es,automatic
problema,problema,dle.rae.es,automatic
generalmente,generalmente,es.wiktionary.org,automatic
mijo,mijo,www.asale.org,automatic
Microsoft,Microsoft,es.wikipedia.org,automatic
pastillas,pastillas,dle.rae.es,muy rico
esmerarse,esmerarse,dle.rae.es,automatic
enero,enero,dle.rae.es,automatic
intérprete,intérprete,dle.rae.es,automatic
Deprisa,deprisa,dle.rae.es,automatic
brida,brida,dle.rae.es,automatic
eslabón,eslabón,dle.rae.es,automatic
remolcador,remolcador,dle.rae.es,automatic
cubanos,cubanos,dle.rae.es,automatic
Louisiana,Louisiana,es.wiktionary.org,automatic
prisionero,prisionero,dle.rae.es,automatic
zumbar,zumbar,dle.rae.es,automatic
alcaide,alcaide,dle.rae.es,automatic
ariete,ariete,dle.rae.es,automatic
diezmado,diezmado,dle.rae.es,automatic
pej,por ejemplo,personal,manual
multi-cultural,multicultural,dle.rae.es,automatic
