00,test1,,
00,test2,,
00,test3,,
00,test4,,
00,test5,,
00,test6,,
00,test7,,
00,test8,,
00,test9,,
00,test10,,
hello,hello,,
germanium,germanium,,
quantification,quantification,,
semi-conductor,semiconductor,,
semiconductor,semiconductor,,
azimuthal,azimuthal,,
nanoscale,nanoscale,,
hafnium,hafnium,,
AFM,AFM,,
TEM,TEM,,
afm,AFM,,
tem,TEM,,
Bayesian,Bayesian,,
bayesian,Bayesian,,
over layer,overlayer,,
non-destructive,nondestructive,,
nondestructive,nondestructive,,
nondestructively,nondestructively,,
nondestructively,nondestructively,,
non-destructively,nondestructively,,
synchrotron,synchrotron,,
resections,resections,,
intraoperatively,intraoperatively,,
semi-automatically,semiautomatically,,
monopsony,monopsony,,
monopsonistic,monopsonistic,,
deadweight,deadweight,,
checkup,checkup,,
willy nilly,willy-nilly,,
post-transplant,posttransplant,,
P value,P value,,
multi-layer,multilayer,,
posttransplant,posttransplant,,
snowflake,snowflake,,
Euclidean,euclidean,,
Jacobian,Jacobian,,
transferred,transferred,,
spider web,spiderweb,,
electrodeposition,electrodeposition,,
Celsius,Celsius,,
Gaussian,Gaussian,,
choke-points,choke points,,
ferromagnetic,ferromagnetic,,
Laplace,Laplace,,
piecewise,piecewise,,
isotropic,isotropic,,
homogeneous,homogeneous,,
scalar,scalar,,
bilinear,bilinear,,
non-periodic,nonperiodic,,
hysteretic,hysteretic,,
ingot,ingot,,
martensitic,martensitic,,
austenitic,austenitic,,
torsional,torsional,,
Hertz,hertz,,
Newton,newton,,
nickel,nickel,,
arange,arrange,,
sonication,sonication,,
non-invasive,noninvasive,,
non-ionizing,nonionizing,,
abberation,aberration,,
aberration,aberration,,
aberrations,aberrations,,
non-ideal,nonideal,,
unmodulated,unmodulated,,
wavefront,wave front,,
volumetric,volumetric,,
multi-focal,multifocal,,
multifocal,multifocal,,
sound field,sound field,,
cross-section,cross section,,
bifocal,bifocal,,
Fourier,Fourier,,
accelerometers,accelerometers,,
non-contact,noncontact,,
noncontact,noncontact,,
grayscale,grayscale,,
pre-defined,predefined,,
showerhead,showerhead,,
nonwoven,nonwoven,,
crystallinity,crystallinity,,
yellowish,yellowish,,
Nuremberg,Nuremberg,,
self-regulate,self-regulate,,
subparts,subparts,,
non-scientific,nonscientific,,
woah,whoa,,
PROFESSOR:,professor,,
cut-offs,cutoffs,,
cutoff,cutoff,,
non-homogeneous,nonhomogeneous,,
backtrack,backtrack,,
shortcut,shortcut,,
0-th,0-th,,
0th,0-th,,
zeroth,0-th,,
upstairs,upstairs,,
downstairs,downstairs,,
multi-dimensional,multidimensional,,
chi-square,chi-square,,
eggshell,eggshell,,
counterintuitive,counterintuitive,,
preprocess,preprocess,,
eigenvalue,eigenvalue,,
subspace,subspace,,
lemma,lemma,,
inter-point,interpoint,,
interpoint,interpoint,,
orthogonalization,orthogonalization,,
nonzero,nonzero,,
orthonormal,orthonormal,,
QEd,QED,,
qed,QED,,
Qed,QED,,
worksheet,worksheet,,
imminent,imminent,,
scorecard,scorecard,,
coauthor,coauthor,,
co-author,coauthor,,
monsieur,monsieur,,
statecraft,statecraft,,
ferment,ferment,,
self-destruct,self-destruct,,
in-fighting,infighting,,
infighting,infighting,,
decoupling,decoupling,,
coltan,coltan,,
obviously,obviously,,
vis-a-vis,vis-a-vis,,
non-democratic,nondemocratic,,
holdouts,holdouts,,
weaponization,weaponization,,
multi-step,multistep,,
multistep,multistep,,
wheelhouse,wheelhouse,,
self-taught,self-taught,,
eke,eke,,
self-explanatory,self-explanatory,,
wildcard,wildcard,,
in line,in-line,,
in-line,in-line,,
writable,writable,,
pipeline,pipeline,,
gooey,gooey,,
Wi-Fi,Wi-Fi,,
standpoint,standpoint,,
walkthrough,walk-through,,
housekeeping,housekeeping,,
non-existent,nonexistent,,
nonexistent,nonexistent,,
catchall,catchall,,
workaround,work-around,,
pre-plan,preplan,,
preplan,preplan,,
pre-configure,preconfigure,,
preconfigure,preconfigure,,
intentionally,intentionally,,
helpdesk,help desk,,
inside-out,inside out,,
push-back,pushback,,
tunneling,tunneling,,
toolkit,tool kit,,
tool kit,tool kit,,
buzz-word,buzzword,,
buzz word,buzzword,,
buzzword,buzzword,,
jitter,jitter,,
mm-hmm,mm-hmm,,
woo woo,woo-woo,,
woo-woo,woo-woo,,
re-say,resay,,
co-own,co-own,,
cocreate,cocreate,,
pushback,pushback,,
burnout,burnout,,
check-in,check in,,
opportunities,opportunities,,
self-care,self-care,,
psych,psych,,
headcount,head count,,
takeaway,takeaway,,
t-shirt,T-shirt,,
T-shirt,T-shirt,,
doula,doula,,
firsthand,firsthand,,
frontline,frontline,,
misstep,misstep,,
bi-directional,bidirectional,,
self-doubt,self-doubt,,
long-standing,long-standing,,
non-work,nonwork,,
nonwork,nonwork,,
frittering,frittering,,
know-it-all,know-it-all,,
double-down,double down,,
deferent,deferent,,
everybody,everybody,,
bejesus,bejesus,,
workspaces,workspaces,,
emcee,emcee,,
policymaker,policymaker,,
woohoo,woo-hoo,,
after-school,after-school,,
stomata,stomata,,
wraparound,wraparound,,
multi-tiered,multitiered,,
co-president,copresident,,
copresidents,copresidents,,
cohost,cohost,,
crenelated,crenelated,,
bookending,bookending,,
portico,portico,,
set-up,set up,,
pinup,pinup,,
changemakers,changemakers,,
mock-ups,mock-up,,
passers-by,passerby,,
passersby,passersby,,
formwork,formwork,,
safing,safing,,
longstanding,long-standing,,
departmentally,departmentally,,
multi-use,multiuse,,
attendant,attendant,,
videotaped,videotaped,,
counteroffensive,counteroffensive,,
non-deterministic,nondeterministic,,
chargeback,charge-back,,
co-ed,coed,,
coed,coed,,
liveaboard,liveaboard,,
cabana,cabana,,
fore-deck,foredeck,,
foredeck,foredeck,,
foot-rest,footrest,,
footrest,footrest,,
co-captain,cocaptain,,
bridge-deck,bridge deck,,
Overnight,overnight,,
port-side,portside,,
portside,portside,,
transom,transom,,
sunshade,sunshade,,
cooktop,cooktop,,
upshot,upshot,,
neo-Nazi,neo-Nazi,,
forgo,forgo,,
non-compete,noncompete,,
firstborn,firstborn,,
non-violent,nonviolent,,
nonviolent,nonviolent,,
uh-oh,uh-oh,,
pathway,pathway,,
recopied,recopied,,
citywide,citywide,,
commutativity,commutativity,,
associativity,associativity,,
aleph,aleph,,
bijection,bijection,,
abelian,abelian,,
semi-group,semigroup,,
semigroup,semigroup,,
non-commutative,noncommutative,,
noncommutative,noncommutative,,
zigzagging,zigzagging,,
naught,naught,,
non-issue,nonissue,,
nonissue,nonissue,,
inertial,inertial,,
pascal,pascal,,
postdoc,postdoc,,
rho,rho,,
non-trivial,nontrivial,,
nontrivial,nontrivial,,
non-zero,nonzero,,
sub-optimally,suboptimal,,
suboptimal,suboptimal,,
permute,permute,,
copula,copula,,
Gamma,gamma,,
theorom,theorem,,
theorem,theorem,,
re-collect,recollect,,
recollect,recollect,,
linearity,linearity,,
co-chair,cochair,,
cochair,cochair,,
mind-blowing,mind-blowing,,
mudslides,mudslides,,
tie-back,tieback,,
tieback,tieback,,
Marshal,marshal,,
stucco,stucco,,
superintendent,superintendent,,
segue,segue,,
adaption,adaption,,
stormwater,stormwater,,
self-interest,self-interest,,
snowstorm,snowstorm,,
homeowner's,homeowner's,,
markup,markup,,
kelvin,kelvin,,
deuterium,deuterium,,
tritium,tritium,,
Coulomb,coulomb,,
Peppercorn,peppercorn,,
time-scale,timescale,,
timescale,timescale,,
cryostat,cryostat,,
sars-cov-2,SARS-CoV-2,,
MERS,MERS,,
non-structural,nonstructural,,
trimer,trimer,,
omicron,omicron,,
mers-cov,MERS-CoV,,
SARS-CoV-2,SARS-CoV-2,,
pH,pH,,
gamma,gamma,,
redshift,redshift,,
solvation,solvation,,
postgraduate,postgraduate,,
transmissive,transmissive,,
polarimeter,polarimeter,,
oscillation,oscillation,,
retarder,retarder,,
illuminate,illuminate,,
ellipticity,ellipticity,,
COVID-19,COVID-19,,
denaturation,denaturation,,
luminescent,luminescent,,
dreamt,dreamt,,
Palenque,Palenque,,
Martinique,Martinique,,
Granada,Granada,,
trouble-maker,troublemaker,,
troublemaker,troublemaker,,
Nahuatl,Nahuatl,,
bi-cameral,bicameral,,
